TARGET	DOMAIN	STATUS	SCORE	MATCHED_SEED	MATCHED_REDIRECT_HOST	IP	SCHEME	HTTP_STATUS	REDIRECT_HOST	TITLE_SIMILARITY	CONTENT_SIMILARITY	SSL_ISSUER	SERVER_BANNER	NOTE
Box	boy.com	LOW_MATCH	2	box.com	www.box.com	64.190.63.222	https	403	sedo.com	0.00	0.00	Unknown	cloudflare	redirects to sedo.com
Box	boz.com	LOW_MATCH	2	box.com	www.box.com	216.24.57.1	https	200	boz.com	0.00	0.00	Unknown	cloudflare	
Box	bpox.com	LOW_MATCH	2	box.com	www.box.com	52.20.84.62	https	403	www.atom.com	0.00	0.00	Unknown	cloudflare	redirects to www.atom.com
Box	bvox.com	LOW_MATCH	2	box.com	www.box.com	104.18.19.185,104.18.18.185,2606:4700::6812:12b9,2606:4700::6812:13b9	https	200	www.bvox.com	0.00	0.00	Unknown	cloudflare	redirects to www.bvox.com
Box	clox.com	LOW_MATCH	2	box.com	www.box.com	52.20.84.62	https	403	www.atom.com	0.00	0.00	Unknown	cloudflare	redirects to www.atom.com
Box	dlox.com	LOW_MATCH	2	box.com	www.box.com	172.67.152.150,104.21.1.238,2606:4700:3036::ac43:9896,2606:4700:3037::6815:1ee	https	200	dlox.com	0.00	0.00	Unknown	cloudflare	
Box	lbox.com	LOW_MATCH	2	box.com	www.box.com	104.26.6.212,104.26.7.212,172.67.73.157,2606:4700:20::ac43:499d,2606:4700:20::681a:7d4,2606:4700:20::681a:6d4	https	200	lbox.com	0.00	0.00	Unknown	cloudflare	
Box	nbox.com	LOW_MATCH	2	box.com	www.box.com	172.67.170.66,104.21.63.72,2606:4700:3030::ac43:aa42,2606:4700:3036::6815:3f48	https	403	nbox.com	0.00	0.00	Unknown	cloudflare	
Cloudflare	clo-udflare.com	LOW_MATCH	2	cloudflare.com	www.cloudflare.com	104.21.79.132,172.67.145.187,2606:4700:3033::ac43:91bb,2606:4700:3032::6815:4f84	https	404	clo-udflare.com	0.00	0.00	Unknown	cloudflare	page title unavailable
Docker	decker.com	LOW_MATCH	2	docker.com	www.docker.com	199.16.172.186,199.16.173.214	https	403	decker.com	0.18	0.00	Unknown	nginx	
Dropbox	hellosigh.com	LOW_MATCH	2	hellosign.com	sign.dropbox.com	199.34.228.160	https	200	www.hellosigh.com	0.17	0.00	Unknown	cloudflare	redirects to www.hellosigh.com
Dropbox	hellsign.com	LOW_MATCH	2	hellosign.com	sign.dropbox.com	52.20.84.62	https	403	domains.atom.com	0.18	0.00	Unknown	cloudflare	redirects to domains.atom.com
GitLab	giglab.com	LOW_MATCH	2	gitlab.com	about.gitlab.com	148.135.17.10	https	403	namestar.com	0.16	0.00	Unknown	cloudflare	redirects to namestar.com
Google	xn--oole-z7bc.com	LOW_MATCH	2	gmail.com	accounts.google.com	107.180.21.235	https	200	sites.google.com	0.00	0.00	Unknown	ESF	redirects to sites.google.com
Okta	oktac.com	LOW_MATCH	2	okta.com	www.okta.com	52.20.84.62	https	403	domains.atom.com	0.23	0.00	Unknown	cloudflare	redirects to domains.atom.com
Okta	oktak.com	LOW_MATCH	2	okta.com	www.okta.com	52.20.84.62	https	403	domains.atom.com	0.23	0.00	Unknown	cloudflare	redirects to domains.atom.com
Okta	oktal.com	LOW_MATCH	2	okta.com	www.okta.com	52.20.84.62	https	403	www.atom.com	0.23	0.00	Unknown	cloudflare	redirects to www.atom.com
Okta	xn--okt-kla.com	LOW_MATCH	2	okta.com	www.okta.com	172.67.132.115,104.21.4.210,2606:4700:3036::ac43:8473,2606:4700:3031::6815:4d2	https	403	xn--okt-kla.com	0.23	0.00	Unknown	cloudflare	
Shopify	shopifyl.com	LOW_MATCH	2	shopify.com	www.shopify.com	104.21.89.51,172.67.188.32,2606:4700:3033::ac43:bc20,2606:4700:3037::6815:5933	https	200	shopifyl.com	0.00	0.00	Unknown	cloudflare	page title unavailable; visible text unavailable
Shopify	shopivy.com	LOW_MATCH	2	shopify.com	www.shopify.com	23.227.38.65	https	200	shopivy.com	0.12	0.00	Unknown	cloudflare	
Stripe	strime.com	LOW_MATCH	2	stripe.com	stripe.com	136.243.194.6	https	200	strime.com	0.00	0.00	Unknown	nginx	page title unavailable
Stripe	ztripe.com	LOW_MATCH	2	stripe.com	stripe.com	54.187.119.242,54.187.159.182,54.186.23.98	https	404	ztripe.com	0.18	0.00	Unknown	nginx	
Zoom	zool.us	LOW_MATCH	2	zoom.us	www.zoom.com	172.67.174.92,104.21.80.53,2606:4700:3032::ac43:ae5c,2606:4700:3037::6815:5035	https	403	zool.us	0.19	0.00	Unknown	cloudflare	
Microsoft	uutlook.com	LOW_MATCH	1	outlook.com	outlook.live.com	104.247.81.99	https	200	uutlook.com	0.67	0.67	N/A	Caddy	certificate issuer unavailable
Microsoft	out6look.com	LOW_MATCH	1	outlook.com	outlook.live.com	104.247.81.99	https	200	out6look.com	0.63	0.63	N/A	Caddy	certificate issuer unavailable
Microsoft	outlkook.com	LOW_MATCH	1	outlook.com	outlook.live.com	104.247.81.99	https	200	outlkook.com	0.63	0.63	N/A	Caddy	certificate issuer unavailable
Microsoft	outloiok.com	LOW_MATCH	1	outlook.com	outlook.live.com	104.247.81.99	https	200	outloiok.com	0.63	0.63	N/A	Caddy	certificate issuer unavailable
Microsoft	outloo0k.com	LOW_MATCH	1	outlook.com	outlook.live.com	104.247.81.99	https	200	outloo0k.com	0.63	0.63	N/A	Caddy	certificate issuer unavailable
Microsoft	outlpook.com	LOW_MATCH	1	outlook.com	outlook.live.com	104.247.81.99	https	200	outlpook.com	0.63	0.63	N/A	Caddy	certificate issuer unavailable
Microsoft	outliok.com	LOW_MATCH	1	outlook.com	outlook.live.com	103.224.182.251	https	200	ww38.outliok.com	0.56	0.56	Unknown	Caddy	redirects to ww38.outliok.com
Microsoft	outlooo.com	LOW_MATCH	1	outlook.com	outlook.live.com	103.224.182.251	https	200	ww38.outlooo.com	0.56	0.56	Unknown	Caddy	redirects to ww38.outlooo.com
Microsoft	outoook.com	LOW_MATCH	1	outlook.com	outlook.live.com	103.224.182.251	https	200	ww38.outoook.com	0.56	0.56	Unknown	Caddy	redirects to ww38.outoook.com
Apple	iclou.com	LOW_MATCH	1	icloud.com	www.icloud.com	103.224.182.247	https	200	ww38.iclou.com	0.53	0.44	Unknown	Caddy	redirects to ww38.iclou.com
Apple	iclouc.com	LOW_MATCH	1	icloud.com	www.icloud.com	54.237.57.21	https	200	iclouc.com	0.40	0.43	Unknown	Hidden	server banner unavailable
Apple	icload.com	LOW_MATCH	1	icloud.com	www.icloud.com	103.224.182.238	https	200	ww38.icload.com	0.50	0.42	Unknown	Caddy	redirects to ww38.icload.com
Apple	iclohd.com	LOW_MATCH	1	icloud.com	www.icloud.com	103.224.182.253	https	200	ww38.iclohd.com	0.50	0.42	Unknown	Caddy	redirects to ww38.iclohd.com
Apple	ic1oub.com	LOW_MATCH	1	icloud.com	www.icloud.com	104.21.50.97,172.67.159.240,2606:4700:3037::6815:3261,2606:4700:3031::ac43:9ff0	https	200	ic1oub.com	0.38	0.41	Unknown	cloudflare	
Coinbase	coinase.com	LOW_MATCH	1	coinbase.com	www.coinbase.com	192.157.56.140	https	200	coinase.com	0.38	0.38	Unknown	Cowboy	
Jira	jiras.com	LOW_MATCH	1	jira.com	www.atlassian.com	13.32.179.10,13.32.179.44,13.32.179.24,13.32.179.106	https	200	jiras.com	0.30	0.36	Unknown	AmazonS3	
Zendesk	zeendesk.com	LOW_MATCH	1	zendesk.com	www.zendesk.com	103.224.182.241	https	200	zeendesk.com	0.00	0.36	Unknown	Apache	page title unavailable
Zendesk	zendeesk.com	LOW_MATCH	1	zendesk.com	www.zendesk.com	103.224.182.252	https	200	yfdabv11.com	0.00	0.36	Unknown	nginx/1.28.0	redirects to yfdabv11.com; page title unavailable
Adobe	acobe.com	LOW_MATCH	1	acrobat.com	acrobat.adobe.com	208.115.249.237	https	200	907585.studiowaterarts.com	0.12	0.35	Unknown	cloudflare	server banner unavailable; redirects to 907585.studiowaterarts.com
Coinbase	cainbase.com	LOW_MATCH	1	coinbase.com	www.coinbase.com	172.234.27.224,172.237.159.210,172.239.193.217	https	200	cainbase.com	0.33	0.33	Unknown	openresty	
Coinbase	coincase.com	LOW_MATCH	1	coinbase.com	www.coinbase.com	172.237.146.46,172.237.146.39,172.237.146.18	https	200	coincase.com	0.33	0.33	Unknown	openresty	
Atlassian	atlasaian.com	LOW_MATCH	1	atlassian.com	www.atlassian.com	198.185.159.145,198.49.23.145,198.185.159.144,198.49.23.144	https	200	atlasaian.com	0.15	0.31	Unknown	Squarespace	
Adobe	qdobe.com	LOW_MATCH	1	acrobat.com	acrobat.adobe.com	103.224.182.243	https	200	ww16.qdobe.com	0.30	0.30	Unknown	Parking/1.0	server banner unavailable; redirects to ww16.qdobe.com
Shopify	qshopify.com	LOW_MATCH	1	shopify.com	www.shopify.com	191.101.104.235,212.1.212.74,2a02:4780:1e:6683:575:5200:1fce:5b03,2a02:4780:1d:acd1:a48b:732f:2290:b98f	https	200	qshopify.com	0.30	0.30	Unknown	hcdn	
Zendesk	znedesk.com	LOW_MATCH	1	zendesk.com	www.zendesk.com	46.8.9.220,46.8.9.222,46.8.9.223,46.8.9.224,46.8.9.225,46.8.9.226,46.8.9.227,46.8.9.228,46.8.9.229	https	200	znedesk.com	0.11	0.29	Unknown	Hidden	server banner unavailable
Adobe	adibe.com	LOW_MATCH	1	acrobat.com	acrobat.adobe.com	86.105.245.69	https	200	www.adibe.com	0.03	0.28	Unknown	openresty/1.21.4.1	server banner unavailable; redirects to www.adibe.com
Jira	mira.com	LOW_MATCH	1	jira.com	www.atlassian.com	74.220.215.233	https	200	mira.com	0.00	0.28	Unknown	nginx/1.29.8	page title unavailable
Adobe	adobem.com	LOW_MATCH	1	acrobat.com	acrobat.adobe.com	163.44.176.20,2400:8500:1301:162::20:1	https	200	adobem.com	0.00	0.27	Unknown	LiteSpeed	server banner unavailable; page title unavailable
